id,box_id,device_type,false_character,hold_for,key_pressed,location,long_pressed_equivalent,name,platform,pressed_after,timestamp,user_id
17953,#text-area-1,Computer/Laptop,f,24,t,84,1,Varun Sapre,Win32,78,1586594740487,610281f4-7233-4cd1-8a8f-308b1c333267
17954,#text-area-1,Computer/Laptop,f,64,h,72,1,Varun Sapre,Win32,80,1586594740591,610281f4-7233-4cd1-8a8f-308b1c333267
17955,#text-area-1,Computer/Laptop,f,33,i,73,1,Varun Sapre,Win32,23,1586594740678,610281f4-7233-4cd1-8a8f-308b1c333267
17956,#text-area-1,Computer/Laptop,f,106, ,32,1,Varun Sapre,Win32,127,1586594740838,610281f4-7233-4cd1-8a8f-308b1c333267
17959,#text-area-1,Computer/Laptop,f,113, ,32,1,Varun Sapre,Win32,127,1586594741446,610281f4-7233-4cd1-8a8f-308b1c333267
17960,#text-area-1,Computer/Laptop,f,105,p,80,1,Varun Sapre,Win32,15,1586594741574,610281f4-7233-4cd1-8a8f-308b1c333267
17963,#text-area-1,Computer/Laptop,f,32,r,82,1,Varun Sapre,Win32,169,1586594742911,610281f4-7233-4cd1-8a8f-308b1c333267
17964,#text-area-1,Computer/Laptop,f,104,p,80,1,Varun Sapre,Win32,120,1586594743063,610281f4-7233-4cd1-8a8f-308b1c333267
17965,#text-area-1,Computer/Laptop,f,87,h,72,1,Varun Sapre,Win32,567,1586594743735,610281f4-7233-4cd1-8a8f-308b1c333267
17966,#text-area-1,Computer/Laptop,f,89, ,32,1,Varun Sapre,Win32,247,1586594744070,610281f4-7233-4cd1-8a8f-308b1c333267
17967,#text-area-1,Computer/Laptop,f,96,t,84,1,Varun Sapre,Win32,64,1586594744223,610281f4-7233-4cd1-8a8f-308b1c333267
17969,#text-area-1,Computer/Laptop,f,41,a,65,1,Varun Sapre,Win32,64,1586594744487,610281f4-7233-4cd1-8a8f-308b1c333267
17971,#text-area-1,Computer/Laptop,t,16, ,32,1,Varun Sapre,Win32,64,1586594744695,610281f4-7233-4cd1-8a8f-308b1c333267
17972,#text-area-1,Computer/Laptop,t,128,s,83,1,Varun Sapre,Win32,168,1586594745119,610281f4-7233-4cd1-8a8f-308b1c333267
17973,#text-area-1,Computer/Laptop,t,105, ,32,1,Varun Sapre,Win32,143,1586594745390,610281f4-7233-4cd1-8a8f-308b1c333267
17974,#text-area-1,Computer/Laptop,t,96,e,69,1,Varun Sapre,Win32,256,1586594745751,610281f4-7233-4cd1-8a8f-308b1c333267
17975,#text-area-1,Computer/Laptop,t,112,v,86,1,Varun Sapre,Win32,144,1586594745991,610281f4-7233-4cd1-8a8f-308b1c333267
17977,#text-area-1,Computer/Laptop,t,80,y,89,1,Varun Sapre,Win32,232,1586594746559,610281f4-7233-4cd1-8a8f-308b1c333267
17979,#text-area-1,Computer/Laptop,t,8,s,83,1,Varun Sapre,Win32,64,1586594746895,610281f4-7233-4cd1-8a8f-308b1c333267
17981,#text-area-1,Computer/Laptop,t,80,l,76,1,Varun Sapre,Win32,224,1586594747399,610281f4-7233-4cd1-8a8f-308b1c333267
17982,#text-area-1,Computer/Laptop,t,88,l,76,1,Varun Sapre,Win32,72,1586594747831,610281f4-7233-4cd1-8a8f-308b1c333267
17984,#text-area-1,Computer/Laptop,t,88,t,84,1,Varun Sapre,Win32,160,1586594748255,610281f4-7233-4cd1-8a8f-308b1c333267
17986,#text-area-1,Computer/Laptop,t,48,r,82,1,Varun Sapre,Win32,40,1586594748591,610281f4-7233-4cd1-8a8f-308b1c333267
17987,#text-area-1,Computer/Laptop,t,40, ,32,1,Varun Sapre,Win32,40,1586594748679,610281f4-7233-4cd1-8a8f-308b1c333267
17989,#text-area-1,Computer/Laptop,t,25, ,32,1,Varun Sapre,Win32,103,1586594749078,610281f4-7233-4cd1-8a8f-308b1c333267
17990,#text-area-1,Computer/Laptop,t,64,Backspace,8,1,Varun Sapre,Win32,456,1586594749559,610281f4-7233-4cd1-8a8f-308b1c333267
17991,#text-area-1,Computer/Laptop,t,65,t,84,1,Varun Sapre,Win32,119,1586594749742,610281f4-7233-4cd1-8a8f-308b1c333267
17992,#text-area-1,Computer/Laptop,t,112, ,32,1,Varun Sapre,Win32,16,1586594750055,610281f4-7233-4cd1-8a8f-308b1c333267
17993,#text-area-1,Computer/Laptop,t,104,a,65,1,Varun Sapre,Win32,16,1586594750183,610281f4-7233-4cd1-8a8f-308b1c333267
17994,#text-area-1,Computer/Laptop,t,96,l,76,1,Varun Sapre,Win32,32,1586594750319,610281f4-7233-4cd1-8a8f-308b1c333267
17995,#text-area-1,Computer/Laptop,t,89,p,80,1,Varun Sapre,Win32,607,1586594751022,610281f4-7233-4cd1-8a8f-308b1c333267
17996,#text-area-1,Computer/Laptop,t,64,h,72,1,Varun Sapre,Win32,232,1586594751343,610281f4-7233-4cd1-8a8f-308b1c333267
17997,#text-area-1,Computer/Laptop,t,88,a,65,1,Varun Sapre,Win32,96,1586594751503,610281f4-7233-4cd1-8a8f-308b1c333267
17998,#text-area-1,Computer/Laptop,t,80,b,66,1,Varun Sapre,Win32,48,1586594751639,610281f4-7233-4cd1-8a8f-308b1c333267
18000,#text-area-1,Computer/Laptop,t,65,.,190,1,Varun Sapre,Win32,1231,1586594753262,610281f4-7233-4cd1-8a8f-308b1c333267
18002,#text-area-1,Computer/Laptop,t,144,w,87,1,Varun Sapre,Win32,56,1586594753855,610281f4-7233-4cd1-8a8f-308b1c333267
18003,#text-area-1,Computer/Laptop,t,80,",",188,1,Varun Sapre,Win32,88,1586594754087,610281f4-7233-4cd1-8a8f-308b1c333267
18004,#text-area-1,Computer/Laptop,t,120, ,32,1,Varun Sapre,Win32,128,1586594754295,610281f4-7233-4cd1-8a8f-308b1c333267
18005,#text-area-1,Computer/Laptop,t,81,t,84,1,Varun Sapre,Win32,95,1586594754510,610281f4-7233-4cd1-8a8f-308b1c333267
18006,#text-area-1,Computer/Laptop,t,90,h,72,1,Varun Sapre,Win32,31,1586594754622,610281f4-7233-4cd1-8a8f-308b1c333267
18008,#text-area-1,Computer/Laptop,t,106, ,32,1,Varun Sapre,Win32,103,1586594754926,610281f4-7233-4cd1-8a8f-308b1c333267
18009,#text-area-1,Computer/Laptop,t,127,d,68,1,Varun Sapre,Win32,0,1586594755032,610281f4-7233-4cd1-8a8f-308b1c333267
18010,#text-area-1,Computer/Laptop,t,80,o,79,1,Varun Sapre,Win32,16,1586594755175,610281f4-7233-4cd1-8a8f-308b1c333267
18012,#text-area-1,Computer/Laptop,t,96, ,32,1,Varun Sapre,Win32,128,1586594755743,610281f4-7233-4cd1-8a8f-308b1c333267
18013,#text-area-1,Computer/Laptop,t,168,n,78,1,Varun Sapre,Win32,192,1586594756031,610281f4-7233-4cd1-8a8f-308b1c333267
18014,#text-area-1,Computer/Laptop,t,72,Backspace,8,1,Varun Sapre,Win32,184,1586594756383,610281f4-7233-4cd1-8a8f-308b1c333267
18015,#text-area-1,Computer/Laptop,t,247,Backspace,8,1,Varun Sapre,Win32,121,1586594756576,610281f4-7233-4cd1-8a8f-308b1c333267
18016,#text-area-1,Computer/Laptop,t,80,Backspace,8,1,Varun Sapre,Win32,152,1586594756975,610281f4-7233-4cd1-8a8f-308b1c333267
18017,#text-area-1,Computer/Laptop,t,96, ,32,1,Varun Sapre,Win32,72,1586594757127,610281f4-7233-4cd1-8a8f-308b1c333267
18019,#text-area-1,Computer/Laptop,t,96,t,84,1,Varun Sapre,Win32,88,1586594757631,610281f4-7233-4cd1-8a8f-308b1c333267
18020,#text-area-1,Computer/Laptop,t,88, ,32,1,Varun Sapre,Win32,40,1586594757767,610281f4-7233-4cd1-8a8f-308b1c333267
18021,#text-area-1,Computer/Laptop,t,120,m,77,1,Varun Sapre,Win32,64,1586594757919,610281f4-7233-4cd1-8a8f-308b1c333267
18022,#text-area-1,Computer/Laptop,t,56,n,78,1,Varun Sapre,Win32,544,1586594758783,610281f4-7233-4cd1-8a8f-308b1c333267
18023,#text-area-1,Computer/Laptop,t,88, ,32,1,Varun Sapre,Win32,248,1586594759087,610281f4-7233-4cd1-8a8f-308b1c333267
18024,#text-area-1,Computer/Laptop,t,65,t,84,1,Varun Sapre,Win32,63,1586594759238,610281f4-7233-4cd1-8a8f-308b1c333267
18026,#text-area-1,Computer/Laptop,t,25,i,73,1,Varun Sapre,Win32,15,1586594759486,610281f4-7233-4cd1-8a8f-308b1c333267
18027,#text-area-1,Computer/Laptop,t,8,s,83,1,Varun Sapre,Win32,80,1586594759591,610281f4-7233-4cd1-8a8f-308b1c333267
18029,#text-area-1,Computer/Laptop,t,48,a,65,1,Varun Sapre,Win32,24,1586594759951,610281f4-7233-4cd1-8a8f-308b1c333267
